iter	Passed	Remaining
0	16	16328
1	36	18394
2	52	17439
3	69	17312
4	87	17320
5	103	17207
6	122	17349
7	142	17635
8	159	17535
9	176	17430
10	193	17366
11	212	17517
12	230	17492
13	250	17666
14	269	17692
15	288	17765
16	306	17703
17	323	17647
18	341	17622
19	357	17537
20	374	17442
21	395	17592
22	415	17632
23	432	17575
24	448	17499
25	466	17461
26	484	17468
27	500	17378
28	518	17344
29	535	17308
30	551	17239
31	567	17177
32	584	17118
33	601	17084
34	618	17062
35	635	17020
36	652	16976
37	668	16911
38	685	16892
39	702	16861
40	719	16834
41	735	16777
42	753	16762
43	772	16787
44	790	16773
45	807	16744
46	826	16752
47	845	16770
48	863	16767
49	881	16752
50	900	16758
51	917	16726
52	937	16756
53	955	16740
54	972	16709
55	988	16661
56	1008	16680
57	1025	16661
58	1041	16616
59	1060	16619
60	1077	16581
61	1094	16552
62	1109	16495
63	1126	16471
64	1140	16410
65	1155	16349
66	1171	16319
67	1184	16241
68	1205	16259
69	1223	16261
70	1239	16219
71	1253	16159
72	1270	16131
73	1285	16089
74	1303	16078
75	1317	16023
76	1334	16001
77	1348	15934
78	1362	15881
79	1381	15883
80	1396	15842
81	1409	15778
82	1430	15804
83	1446	15779
84	1461	15728
85	1476	15691
86	1488	15625
87	1501	15564
88	1517	15536
89	1533	15502
90	1549	15473
91	1563	15435
92	1581	15419
93	1600	15430
94	1621	15449
95	1639	15436
96	1658	15435
97	1672	15391
98	1684	15334
99	1704	15343
100	1723	15340
101	1742	15337
102	1755	15286
103	1769	15245
104	1784	15211
105	1802	15200
106	1818	15178
107	1831	15123
108	1846	15091
109	1860	15057
110	1875	15023
111	1889	14983
112	1905	14954
113	1923	14951
114	1937	14907
115	1956	14909
116	1971	14878
117	1986	14849
118	2005	14846
119	2029	14879
120	2045	14860
121	2062	14845
122	2078	14820
123	2096	14810
124	2111	14783
125	2128	14762
126	2155	14815
127	2175	14823
128	2192	14806
129	2213	14813
130	2234	14822
131	2265	14898
132	2292	14944
133	2350	15188
134	2373	15206
135	2393	15207
136	2427	15293
137	2443	15261
138	2463	15258
139	2479	15229
140	2495	15205
141	2513	15186
142	2531	15173
143	2547	15140
144	2563	15115
145	2579	15087
146	2593	15048
147	2609	15022
148	2622	14980
149	2637	14947
150	2653	14918
151	2674	14918
152	2694	14914
153	2710	14888
154	2731	14890
155	2744	14847
156	2761	14826
157	2776	14798
158	2793	14774
159	2807	14738
160	2824	14720
161	2843	14706
162	2858	14678
163	2873	14648
164	2890	14628
165	2908	14610
166	2925	14592
167	2938	14551
168	2953	14524
169	2969	14499
170	2985	14474
171	3002	14455
172	3018	14431
173	3037	14419
174	3052	14391
175	3069	14369
176	3080	14325
177	3100	14318
178	3121	14317
179	3140	14305
180	3155	14278
181	3169	14243
182	3183	14213
183	3199	14190
184	3215	14165
185	3233	14150
186	3248	14121
187	3264	14098
188	3285	14096
189	3302	14081
190	3321	14066
191	3341	14060
192	3358	14043
193	3376	14029
194	3394	14012
195	3414	14004
196	3430	13984
197	3452	13982
198	3468	13961
199	3493	13973
200	3513	13966
201	3529	13942
202	3544	13917
203	3563	13906
204	3579	13879
205	3597	13866
206	3610	13833
207	3627	13810
208	3644	13793
209	3660	13771
210	3677	13750
211	3690	13719
212	3711	13714
213	3736	13722
214	3753	13706
215	3768	13676
216	3788	13668
217	3803	13643
218	3824	13639
219	3840	13615
220	3855	13589
221	3873	13572
222	3888	13548
223	3903	13521
224	3919	13500
225	3934	13474
226	3952	13460
227	3966	13429
228	3984	13413
229	4001	13395
230	4020	13384
231	4041	13380
232	4058	13360
233	4077	13349
234	4096	13335
235	4108	13301
236	4125	13281
237	4141	13259
238	4162	13252
239	4179	13235
240	4195	13213
241	4213	13199
242	4232	13184
243	4247	13161
244	4262	13136
245	4279	13117
246	4295	13094
247	4312	13077
248	4326	13049
249	4344	13032
250	4364	13022
251	4382	13009
252	4401	12995
253	4422	12987
254	4437	12964
255	4454	12946
256	4473	12931
257	4488	12909
258	4504	12886
259	4522	12871
260	4540	12854
261	4556	12833
262	4576	12824
263	4598	12820
264	4615	12802
265	4630	12777
266	4652	12771
267	4665	12743
268	4681	12720
269	4697	12700
270	4717	12689
271	4731	12664
272	4748	12646
273	4765	12627
274	4784	12614
275	4800	12592
276	4821	12584
277	4840	12570
278	4863	12568
279	4880	12549
280	4897	12532
281	4916	12517
282	4932	12497
283	4950	12479
284	4968	12463
285	4983	12441
286	4998	12418
287	5014	12396
288	5031	12378
289	5053	12371
290	5066	12343
291	5087	12334
292	5102	12312
293	5121	12297
294	5135	12274
295	5153	12256
296	5173	12244
297	5193	12234
298	5210	12216
299	5228	12198
300	5250	12192
301	5271	12182
302	5287	12162
303	5304	12145
304	5323	12129
305	5337	12105
306	5353	12083
307	5367	12060
308	5388	12049
309	5403	12027
310	5417	12001
311	5437	11990
312	5452	11967
313	5470	11951
314	5483	11924
315	5501	11908
316	5520	11895
317	5539	11879
318	5559	11868
319	5579	11856
320	5597	11840
321	5615	11824
322	5634	11810
323	5652	11792
324	5665	11767
325	5680	11744
326	5694	11720
327	5710	11699
328	5727	11681
329	5742	11659
330	5764	11650
331	5777	11624
332	5796	11611
333	5815	11596
334	5833	11580
335	5850	11562
336	5866	11541
337	5882	11521
338	5897	11498
339	5912	11477
340	5929	11459
341	5944	11437
342	5956	11409
343	5979	11402
344	5997	11387
345	6014	11368
346	6032	11352
347	6051	11337
348	6067	11316
349	6083	11298
350	6099	11277
351	6112	11252
352	6127	11230
353	6142	11208
354	6161	11194
355	6177	11174
356	6198	11163
357	6217	11150
358	6233	11129
359	6249	11109
360	6267	11093
361	6285	11076
362	6301	11057
363	6319	11041
364	6335	11021
365	6348	10997
366	6365	10979
367	6382	10961
368	6399	10942
369	6413	10920
370	6427	10896
371	6445	10881
372	6467	10871
373	6486	10857
374	6499	10833
375	6512	10807
376	6531	10792
377	6545	10771
378	6562	10752
379	6578	10734
380	6592	10710
381	6607	10689
382	6620	10665
383	6640	10653
384	6658	10635
385	6671	10612
386	6685	10589
387	6700	10569
388	6716	10549
389	6731	10528
390	6747	10508
391	6763	10489
392	6779	10470
393	6797	10455
394	6816	10440
395	6831	10420
396	6845	10397
397	6861	10378
398	6882	10367
399	6900	10350
400	6913	10327
401	6931	10311
402	6952	10298
403	6966	10277
404	6984	10261
405	7002	10245
406	7019	10227
407	7045	10223
408	7063	10206
409	7078	10185
410	7094	10167
411	7108	10144
412	7125	10128
413	7141	10108
414	7157	10089
415	7171	10068
416	7187	10048
417	7205	10032
418	7222	10014
419	7239	9997
420	7258	9983
421	7282	9974
422	7299	9956
423	7313	9935
424	7328	9915
425	7346	9899
426	7364	9883
427	7377	9860
428	7393	9841
